934160,934143.73,576426.71,0.0,11;31;37 AM
934185,934164.37,576429.77,0.0,11;31;37 AM
934047,934055.37,576167.77,0.0,11;21;20 AM
934026,934029.76,576177.0,0.0,11;21;20 AM
933883,933795.62,576091.06,0.0,11;17;26 AM
933913,933802.95,576099.53,0.0,11;17;26 AM
933588,933722.25,576006.86,0.0,11;17;27 AM
933373,933358.9,576316.55,0.0,11;31;29 AM
933159,933158.5,576291.69,0.0,11;31;27 AM
932956,932965.84,576268.8,0.0,11;31;25 AM
932752,932794.2,576576.44,0.0,11;21;36 AM
932673,932614.53,576281.03,0.0,11;33;57 AM
932525,932490.19,576329.17,0.0,11;33;58 AM
932289,932293.2,576406.97,0.0,11;34;01 AM
932108,932142.71,576466.26,0.0,11;34;03 AM
931674,931652.72,576475.14,0.0,11;24;27 AM
931459,931442.36,576444.73,0.0,11;24;30 AM
931238,931224.67,576417.79,0.0,11;24;32 AM
931005,930997.99,576399.91,0.0,11;24;35 AM
931031,931040.11,576096.88,0.0,11;31;04 AM
930882,930893.66,576079.97,0.0,11;31;02 AM
930847,930846.22,576395.84,0.0,11;24;37 AM
930683,930691.04,576058.27,0.0,11;31;00 AM
930572,930590.19,576047.82,0.0,11;30;59 AM
930497,930509.43,576039.18,0.0,11;30;58 AM
930502,930501.08,576397.51,0.0,11;24;40 AM
930254,930272.64,576015.14,0.0,11;30;55 AM
930020,930040.45,575989.56,0.0,11;30;53 AM
929790,929814.46,575961.32,0.0,11;30;50 AM
929567,929593.53,575932.56,0.0,11;30;48 AM
929341,929316.93,576279.26,0.0,11;24;54 AM
929117,929094.65,576248.96,0.0,11;24;57 AM
928885,928866.32,576220.84,0.0,11;24;59 AM
928664,928646.47,576196.09,0.0,11;25;02 AM
928435,928422.94,576175.88,0.0,11;25;04 AM
928207,928196.58,576159.91,0.0,11;25;07 AM
927986,927976.65,576148.18,0.0,11;25;09 AM
927779,927787.79,575765.56,0.0,11;30;28 AM
927554,927567.14,575752.17,0.0,11;30;25 AM
927331,927347.51,575732.04,0.0,11;30;23 AM
927075,927097.25,575701.78,0.0,11;30;20 AM
926855,926877.66,575673.27,0.0,11;30;18 AM
926636,926653.38,575647.41,0.0,11;30;15 AM
926405,926413.6,575627.78,0.0,11;30;12 AM
926174,926178.23,575619.57,0.0,11;30;10 AM
925937,925941.33,575613.97,0.0,11;30;07 AM
925713,925723.84,575604.2,0.0,11;30;05 AM
925502,925517.19,575583.61,0.0,11;30;02 AM
925290,925308.66,575557.04,0.0,11;30;00 AM
925071,925088.25,575529.43,0.0,11;29;57 AM
924950,924963.54,575516.92,0.0,11;29;56 AM
924737,924751.12,575497.71,0.0,11;29;54 AM
924570,924584.5,575481.12,0.0,11;29;52 AM
924345,924359.27,575457.66,0.0,11;29;49 AM
924106,924116.03,575435.89,0.0,11;29;46 AM
923879,923890.71,575418.53,0.0,11;29;44 AM
923638,923651.52,575395.88,0.0,11;29;41 AM
923450,923462.36,575377.37,0.0,11;29;39 AM
923224,923239.05,575354.55,0.0,11;29;36 AM
922999,923020.07,575326.85,0.0,11;29;34 AM
922776,922809.59,575288.17,0.0,11;29;32 AM
922550,922595.52,575238.22,0.0,11;29;29 AM
922416,922465.67,575205.35,0.0,11;29;28 AM
